Student_ID,Name,Age,Gender,School,Board,Class,Subject,Marks,Grade,Attendance_Percent,Study_Hours_Per_Day,Extra_Curricular,Scholarship
STU_000001,Student_1,8,Female,School_9,ICSE,12,Chemistry,72,A+,80.8,1.4,No,No
STU_000002,Student_2,14,Female,School_42,CBSE,11,Physics,85,D,55.1,2.6,No,No
STU_000003,Student_3,17,Male,School_35,IB,10,Mathematics,61,A+,77.5,2.1,Yes,No
STU_000004,Student_4,17,Male,School_19,State,12,History,80,A,90.9,5.9,Yes,No
STU_000005,Student_5,16,Female,School_17,IB,11,Physics,66,D,65.1,1.6,Yes,No
STU_000006,Student_6,15,Male,School_9,ICSE,12,Hindi,59,A+,71.3,3.4,Yes,No
STU_000007,Student_7,16,Male,School_48,CBSE,9,Mathematics,30,B+,94.9,2.0,Yes,No
STU_000008,Student_8,11,Female,School_32,ICSE,12,English,72,A,88.3,5.8,Yes,No
STU_000009,Student_9,12,Male,School_49,State,11,Biology,67,B,63.4,6.8,Yes,No
STU_000010,Student_10,10,Female,School_3,CBSE,11,Economics,71,B,96.7,7.3,Yes,No
STU_000011,Student_11,15,Male,School_43,CBSE,10,English,62,A+,100.0,4.3,No,No
STU_000012,Student_12,19,Male,School_11,State,9,Mathematics,98,B+,67.4,2.5,No,No
STU_000013,Student_13,12,Male,School_48,State,10,Mathematics,54,C,67.0,5.5,No,No
STU_000014,Student_14,14,Female,School_18,ICSE,12,Computer Science,60,D,92.8,5.9,No,No
STU_000015,Student_15,13,Female,School_48,State,10,Biology,64,A,78.0,3.2,Yes,No
STU_000016,Student_16,15,Male,School_1,CBSE,11,English,53,B+,90.3,5.2,Yes,No
STU_000017,Student_17,14,Male,School_6,Cambridge,11,Economics,65,B,77.9,5.9,No,No
STU_000018,Student_18,14,Male,School_25,CBSE,9,Physics,53,A,77.6,5.5,Yes,No
STU_000019,Student_19,11,Female,School_34,IB,9,Geography,46,B,90.2,6.4,Yes,No
STU_000020,Student_20,13,Female,School_49,IB,10,Economics,75,B+,64.5,4.6,No,No
STU_000021,Student_21,13,Female,School_22,ICSE,11,Physics,69,C+,98.4,3.6,No,No
STU_000022,Student_22,12,Male,School_46,State,11,Computer Science,89,D,90.8,0.3,No,No
STU_000023,Student_23,16,Female,School_13,ICSE,10,English,86,C,62.1,5.1,No,No
STU_000024,Student_24,13,Female,School_12,IB,9,Economics,66,B+,83.7,3.9,Yes,No
STU_000025,Student_25,13,Female,School_3,IB,9,Mathematics,94,A+,100.0,4.1,No,No
STU_000026,Student_26,15,Male,School_4,Cambridge,11,Computer Science,59,F,79.2,4.4,Yes,Yes
STU_000027,Student_27,16,Female,School_36,IB,12,History,55,C,86.1,4.2,Yes,No
STU_000028,Student_28,14,Male,School_17,ICSE,12,Hindi,42,A,81.9,1.9,Yes,No
STU_000029,Student_29,15,Male,School_41,ICSE,12,Biology,72,A+,100.0,4.1,Yes,No
STU_000030,Student_30,9,Female,School_14,State,11,Computer Science,63,C+,99.6,5.5,Yes,No
STU_000031,Student_31,14,Male,School_29,State,9,English,62,C,82.2,0.8,No,No
STU_000032,Student_32,16,Male,School_24,Cambridge,9,English,78,A,85.7,2.8,No,No
STU_000033,Student_33,17,Male,School_13,CBSE,9,Economics,74,C+,94.9,4.9,Yes,No
STU_000034,Student_34,15,Male,School_9,ICSE,11,Biology,79,C,82.1,7.0,No,No
STU_000035,Student_35,11,Female,School_2,CBSE,11,Biology,97,D,90.5,1.1,Yes,No
STU_000036,Student_36,15,Female,School_40,Cambridge,9,Geography,54,C,87.6,4.1,Yes,Yes
STU_000037,Student_37,18,Female,School_33,State,9,Physics,90,B+,81.6,5.4,No,No
STU_000038,Student_38,12,Male,School_32,ICSE,10,Computer Science,79,F,90.9,1.5,No,No
STU_000039,Student_39,15,Male,School_36,ICSE,11,Economics,53,F,88.6,2.5,No,No
STU_000040,Student_40,15,Female,School_28,ICSE,11,Computer Science,73,F,91.7,3.6,Yes,No
STU_000041,Student_41,16,Male,School_5,IB,10,Physics,74,C+,57.4,6.4,No,No
STU_000042,Student_42,13,Male,School_17,Cambridge,12,Mathematics,62,D,73.8,5.6,No,No
STU_000043,Student_43,17,Female,School_37,ICSE,10,Mathematics,85,D,66.9,5.6,No,Yes
STU_000044,Student_44,15,Male,School_27,State,11,Geography,65,F,96.2,3.3,Yes,No
STU_000045,Student_45,15,Female,School_38,State,12,English,73,F,93.4,0.0,No,Yes
STU_000046,Student_46,15,Male,School_47,ICSE,12,Chemistry,82,A+,92.6,4.7,Yes,No
STU_000047,Student_47,14,Male,School_47,State,9,Chemistry,95,D,83.7,7.2,No,No
STU_000048,Student_48,15,Female,School_41,IB,11,Chemistry,87,B,94.9,0.6,No,No
STU_000049,Student_49,15,Female,School_13,ICSE,11,History,84,A+,66.4,3.1,Yes,No
STU_000050,Student_50,13,Male,School_30,State,12,Economics,86,D,91.3,0.7,Yes,No
STU_000051,Student_51,15,Male,School_50,Cambridge,10,Biology,71,C+,61.5,2.4,Yes,No
STU_000052,Student_52,14,Female,School_4,IB,12,Geography,70,A,79.7,1.7,No,No
STU_000053,Student_53,18,Female,School_41,Cambridge,12,Economics,79,A,88.5,4.7,No,No
STU_000054,Student_54,11,Female,School_26,ICSE,11,English,54,D,100.0,2.8,Yes,No
STU_000055,Student_55,15,Female,School_23,IB,12,Computer Science,81,C,61.4,4.0,Yes,No
STU_000056,Student_56,14,Male,School_34,ICSE,11,Hindi,32,A,75.2,7.1,No,No
STU_000057,Student_57,13,Male,School_22,IB,9,Computer Science,67,C+,95.3,4.6,No,No
STU_000058,Student_58,14,Male,School_7,ICSE,10,Mathematics,66,A+,68.7,7.9,Yes,No
STU_000059,Student_59,13,Female,School_9,IB,10,Biology,40,F,100.0,4.4,Yes,No
STU_000060,Student_60,11,Female,School_2,Cambridge,10,Geography,71,A,92.7,1.8,No,No
STU_000061,Student_61,17,Male,School_14,ICSE,11,English,87,D,91.9,6.1,Yes,No
STU_000062,Student_62,16,Female,School_10,State,10,History,77,B+,84.0,4.0,Yes,No
STU_000063,Student_63,15,Male,School_31,Cambridge,10,History,78,C,64.6,4.1,Yes,No
STU_000064,Student_64,14,Male,School_20,CBSE,10,Chemistry,79,C,58.3,3.6,Yes,No
STU_000065,Student_65,16,Female,School_4,CBSE,11,History,85,F,81.5,4.3,No,Yes
STU_000066,Student_66,18,Female,School_48,CBSE,11,Computer Science,78,C,85.8,2.3,Yes,Yes
STU_000067,Student_67,17,Female,School_22,CBSE,9,Economics,65,B+,75.3,5.3,No,Yes
STU_000068,Student_68,18,Female,School_6,ICSE,11,English,73,B+,98.7,3.6,No,No
STU_000069,Student_69,17,Male,School_47,IB,12,Hindi,78,F,89.8,5.2,Yes,No
STU_000070,Student_70,14,Male,School_23,CBSE,10,Geography,64,A,84.3,3.8,No,No
STU_000071,Student_71,15,Female,School_38,Cambridge,10,Economics,58,B,71.0,4.3,Yes,No
STU_000072,Student_72,16,Female,School_45,State,11,History,89,C,87.0,1.7,No,No
STU_000073,Student_73,15,Male,School_39,State,10,Economics,90,C+,100.0,4.4,Yes,Yes
STU_000074,Student_74,15,Female,School_26,IB,10,Geography,70,F,88.4,2.2,No,No
STU_000075,Student_75,16,Male,School_28,IB,9,Biology,66,B+,83.1,7.7,Yes,No
STU_000076,Student_76,16,Female,School_16,ICSE,11,Hindi,60,B+,100.0,2.4,Yes,No
